"file","chainid","chainname","provider"
"Stores7290027600007-000-201507060201.xml","7290027600007","שופרסל","private"
"Stores7290055755557-201505201310.xml","7290055755557","עדן טבע מרקט","private"
"Stores7290058140886-201507052005.xml","7290058140886","רמי לוי שיווק השקמה","cerberus"
"Stores7290103152017-201507052005.xml","7290103152017","אושר עד","cerberus"
"Stores7290492000005-201507060700.xml","7290492000005","Dor Alon","cerberus"
"Stores7290633800006-201507062247.xml","7290633800006","קואפ","private"
"Stores7290700100008-201507060100.xml","7290700100008","כל בו חצי חינם","cerberus"
"Stores7290725900003-201506091724.xml","7290725900003","יינות ביתן מרכז הרשת","private"
"Stores7290785400000-201506142305.xml","7290785400000","קשת טעמים","cerberus"
"Stores7290873900009-201506070100 .xml","7290873900009","סופר דוש","cerberus"
"StoresFull7290055700007-0000-201507060101.xml","7290055700007","רשת מגה","private"
"StoresFull7290058140886-0000-201507060230.xml","7290058140886","זול ובגדול","private"
"StoresFull-7290058179503-000-201507060606-000.xml","7290058179503","מחסני להב","nibit"
"StoresFull-7290661400001-000-201507060600-000.xml","7290661400001","מחסני השוק","nibit"
"StoresFull-7290696200003-000-201507060559-000.xml","7290696200003","ויקטורי","nibit"
"Stores7290803800003-201507070100.xml","7290803800003","סופרשוק יוחננוף","cerberus"
