city,citycbs,citycode
אבן-יהודה,אבן יהודה,22
אופקים,אופקים,42
אור-יהודה,אור יהודה,45
אילת,אילת,156
אלעד,אלעד,185
אריאל,אריאל,207
אשדוד,אשדוד,211
אשקלון,אשקלון,218
באר-שבע,באר שבע,227
בית-שאן,בית שאן,286
בית-שמש,בית שמש,287
בני-ברק,בני ברק,297
בת-ים,בת ים,334
גבעת-שמואל,גבעת שמואל,372
גבעתיים,גבעתיים,376
גן יבנה,גן יבנה,419
גני-תקוה,גני תקווה,430
דימונה,דימונה,455
הוד השרון,הוד השרון,473
הרצליה,הרצלייה,510
זכרון יעקב,זכרון יעקב,520
חדרה,חדרה,537
חולון,חולון,540
חיפה,חיפה,554
טבריה,טבריה,582
יוקנעם,יקנעם עילית,644
ירושלים,ירושלים,648
כפר-יונה,כפר יונה,724
כפר-סבא,כפר סבא,739
כרמיאל,כרמיאל,766
לוד,לוד,777
מגדל-העמק,מגדל העמק,804
מודיעין,מודיעין-מכבים-רעות*,816
מודיעין עלית,מודיעין עילית,817
מזכרת בתיה,מזכרת בתיה,825
מכבים,מודיעין-מכבים-רעות*,816
נס ציונה,נס ציונה,1043
נס-ציונה,נס ציונה,1043
נצרת-עלית,נצרת עילית,1067
נתיבות,נתיבות,1073
נתניה,נתניה,1074
עכו,עכו,1153
עפולה,עפולה,1180
ערד,ערד,1187
פתח-תקוה,פתח תקווה,1220
קדימה,קדימה-צורן,1250
קריית אונו,קריית אונו,1269
קרית אתא,קריית אתא,1271
קרית-אונו,קריית אונו,1269
קרית-אתא,קריית אתא,1271
קרית-ביאליק,קריית ביאליק,1272
קרית-ים,קריית ים,1276
קרית-מוצקין,קריית מוצקין,1279
קרית-שמונה,קריית שמונה,1285
ראש-העין,ראש העין,1293
ראשון-לציון,ראשון לציון,1296
רחובות,רחובות,1313
רמלה,רמלה,1327
רמת-אפעל,רמת אפעל,8600
רמת-גן,רמת גן,1328
רמת-השרון,רמת השרון,1332
רמת-ישי,רמת ישי,1335
רעננה,רעננה,1348
שדרות,שדרות,1381
שוהם,שוהם,1385
תל-אביב,תל אביב -יפו,1442
תל-מונד,תל מונד,1446
