stat_area_code_2008,stat_area_code_2011
211,2111
212,2111
213,2111
221,2112
222,2112
223,2112
224,2112
311,2112
312,2112
313,2211
314,2211
321,2211
323,2212
322,2213
611,2311
612,2311
613,2312
614,2312
615,2312
616,2312
621,2411
622,2411
623,2412
624,2412
711,2511
712,2511
713,2511
721,2512
731,2513
741,2514
1411,2611
1414,2611
1415,2611
1412,2612
1413,2612
1421,2613
1422,2613
1423,2613
1424,2711
1511,2711
1512,2711
1513,2711
1514,2811
1521,2811
1522,2811
1523,2812
1611,2911
1612,2911
1613,2911
1614,2911
